EMP_ID,Overall_satisfaction_level,Satisfaction_over_Last_Evaluation,number_project,avg_montly_hours_in_Ofiice,Number_Of_Years_in_Company,Work_accident,promoted_In_Last_5_year?,Department ,salary,left
E14253,0.38,0.53,2,157,3,0,0,sales,low,1
E14254,0.8,0.86,5,262,6,0,0,sales,medium,1
E14255,0.11,0.88,7,272,4,0,0,sales,medium,1
E14256,0.72,0.87,5,223,5,0,0,sales,low,1
E14257,0.37,0.52,2,159,3,0,0,sales,low,1
E14258,0.41,0.5,2,153,3,0,0,sales,low,1
E14259,0.1,0.77,6,247,4,0,0,sales,low,1
E14260,0.92,0.85,5,259,5,0,0,sales,low,1
E14261,0.89,1,5,224,5,0,0,sales,low,1
E14262,0.42,0.53,2,142,3,0,0,sales,low,1
E14263,0.45,0.54,2,135,3,0,0,sales,low,1
E14264,0.11,0.81,6,305,4,0,0,sales,low,1
E14265,0.84,0.92,4,234,5,0,0,sales,low,1
E14266,0.41,0.55,2,148,3,0,0,sales,low,1
E14267,0.36,0.56,2,137,3,0,0,sales,low,1
E14268,0.38,0.54,2,143,3,0,0,sales,low,1
E14269,0.45,0.47,2,160,3,0,0,sales,low,1
E14270,0.78,0.99,4,255,6,0,0,sales,low,1
E14271,0.45,0.51,2,160,3,1,1,sales,low,1
E14272,0.76,0.89,5,262,5,0,0,sales,low,1
E14273,0.11,0.83,6,282,4,0,0,sales,low,1
E14274,0.38,0.55,2,147,3,0,0,sales,low,1
E14275,0.09,0.95,6,304,4,0,0,sales,low,1
E14276,0.46,0.57,2,139,3,0,0,sales,low,1
E14277,0.4,0.53,2,158,3,0,0,sales,low,1
E14278,0.89,0.92,5,242,5,0,0,sales,low,1
E14279,0.82,0.87,4,239,5,0,0,sales,low,1
E14280,0.4,0.49,2,135,3,0,0,sales,low,1
E14281,0.41,0.46,2,128,3,0,0,accounting,low,1
E14282,0.38,0.5,2,132,3,0,0,accounting,low,1
E14283,0.09,0.62,6,294,4,0,0,accounting,low,1
E14284,0.45,0.57,2,134,3,0,0,hr,low,1
E14285,0.4,0.51,2,145,3,0,0,hr,low,1
E14286,0.45,0.55,2,140,3,0,0,hr,low,1
E14287,0.84,0.87,4,246,6,0,0,hr,low,1
E14288,0.1,0.94,6,255,4,0,0,technical,low,1
E14289,0.38,0.46,2,137,3,0,0,technical,low,1
E14290,0.45,0.5,2,126,3,0,0,technical,low,1
E14291,0.11,0.89,6,306,4,0,0,technical,low,1
E14292,0.41,0.54,2,152,3,0,0,technical,low,1
E14293,0.87,0.88,5,269,5,0,0,technical,low,1
E14294,0.45,0.48,2,158,3,0,0,technical,low,1
E14295,0.4,0.46,2,127,3,0,0,technical,low,1
E14296,0.1,0.8,7,281,4,0,0,technical,low,1
E14297,0.09,0.89,6,276,4,0,0,technical,low,1
E14298,0.84,0.74,3,182,4,0,0,technical,low,1
E14299,0.4,0.55,2,147,3,0,0,support,low,1
E14300,0.57,0.7,3,273,6,0,0,support,low,1
E14301,0.4,0.54,2,148,3,0,0,support,low,1
E14302,0.43,0.47,2,147,3,0,0,support,low,1
E14303,0.13,0.78,6,152,2,0,0,support,low,1
E14304,0.44,0.55,2,135,3,0,0,support,low,1
E14305,0.38,0.55,2,134,3,0,0,support,low,1
E14306,0.39,0.54,2,132,3,0,0,support,low,1
E14307,0.1,0.92,7,307,4,0,0,support,low,1
E14308,0.37,0.46,2,140,3,0,0,support,low,1
E14309,0.11,0.94,7,255,4,0,0,support,low,1
E14310,0.1,0.81,6,309,4,0,0,technical,low,1
E14311,0.38,0.54,2,128,3,0,0,technical,low,1
E14312,0.85,1,4,225,5,0,0,technical,low,1
E14313,0.85,0.91,5,226,5,0,0,management,medium,1
E14314,0.11,0.93,7,308,4,0,0,IT,medium,1
E14315,0.1,0.95,6,244,5,0,0,IT,medium,1
E14316,0.36,0.56,2,132,3,0,0,IT,medium,1
E14317,0.11,0.94,6,286,4,0,0,IT,medium,1
E14318,0.81,0.7,6,161,4,0,0,IT,medium,1
E14319,0.43,0.54,2,153,3,0,0,product_mng,medium,1
E14320,0.9,0.98,4,264,6,0,0,product_mng,medium,1
E14321,0.76,0.86,5,223,5,1,0,product_mng,medium,1
E14322,0.43,0.5,2,135,3,0,0,product_mng,medium,1
E14323,0.74,0.99,2,277,3,0,0,IT,medium,1
E14324,0.09,0.77,5,275,4,0,0,product_mng,medium,1
E14325,0.45,0.49,2,149,3,0,0,product_mng,high,1
E14326,0.09,0.87,7,295,4,0,0,product_mng,low,1
E14327,0.11,0.97,6,277,4,0,0,product_mng,medium,1
E14328,0.11,0.79,7,306,4,0,0,product_mng,medium,1
E14329,0.1,0.83,6,295,4,0,0,product_mng,medium,1
E14330,0.4,0.54,2,137,3,0,0,marketing,medium,1
E14331,0.43,0.56,2,157,3,0,0,sales,low,1
E14332,0.39,0.56,2,142,3,0,0,accounting,low,1
E14333,0.45,0.54,2,140,3,0,0,support,low,1
E14334,0.38,0.49,2,151,3,0,0,technical,low,1
E14335,0.79,0.59,4,139,3,0,1,management,low,1
E14336,0.84,0.85,4,249,6,0,0,marketing,low,1
E14337,0.11,0.77,6,291,4,0,0,marketing,low,1
E14338,0.11,0.87,6,305,4,0,0,marketing,low,1
E14339,0.17,0.84,5,232,3,0,0,sales,low,1
E14340,0.44,0.45,2,132,3,0,0,sales,low,1
E14341,0.37,0.57,2,130,3,0,0,sales,low,1
E14342,0.1,0.79,6,291,4,0,0,sales,low,1
E14343,0.4,0.5,2,130,3,0,0,sales,low,1
E14344,0.89,1,5,246,5,0,0,sales,low,1
E14345,0.42,0.48,2,143,3,0,0,sales,low,1
E14346,0.46,0.55,2,129,3,0,0,sales,low,1
E14347,0.09,0.83,6,255,4,0,0,sales,low,1
E14348,0.37,0.51,2,155,3,0,0,sales,low,1
E14349,0.1,0.77,6,265,4,0,0,sales,low,1
E14350,0.1,0.84,6,279,4,0,0,sales,low,1
E14351,0.11,0.97,6,284,4,0,0,sales,low,1
E14352,0.9,1,5,221,6,0,0,sales,medium,1
E14353,0.38,0.52,2,154,3,0,0,sales,medium,1
E14354,0.36,0.52,2,147,3,0,0,sales,medium,1
E14355,0.42,0.46,2,150,3,0,0,sales,medium,1
E14356,0.09,0.94,7,267,4,0,0,sales,medium,1
E14357,0.43,0.52,2,158,3,0,0,sales,medium,1
E14358,0.24,0.46,7,224,5,0,0,accounting,medium,1
E14359,0.91,1,4,257,5,0,0,accounting,medium,1
E14360,0.44,0.5,2,148,3,0,0,accounting,medium,1
E14361,0.71,0.87,3,177,4,0,0,hr,medium,1
E14362,0.4,0.49,2,155,3,0,0,hr,medium,1
E14363,0.43,0.47,2,144,3,0,0,hr,medium,1
E14364,0.09,0.85,6,289,4,0,0,hr,high,1
E14365,0.43,0.52,2,160,3,0,0,technical,low,1
E14366,0.9,0.96,4,258,5,0,0,technical,medium,1
E14367,0.84,1,5,234,5,0,0,technical,medium,1
E14368,0.37,0.48,2,137,3,0,0,technical,medium,1
E14369,0.86,0.68,5,263,2,0,0,technical,medium,1
E14370,0.11,0.84,6,251,4,0,0,technical,low,1
E14371,0.37,0.57,2,133,3,0,0,technical,low,1
E14372,0.4,0.46,2,132,3,0,0,technical,low,1
E14373,0.14,0.62,4,158,4,1,0,technical,low,1
E14374,0.4,0.46,2,135,3,0,0,technical,low,1
E14375,0.75,1,4,216,6,0,0,technical,low,1
E14376,0.11,0.84,6,300,5,1,0,support,low,1
E14377,0.46,0.49,2,138,3,0,0,support,low,1
E14378,0.11,0.92,6,260,4,0,0,support,low,1
E14379,0.38,0.49,2,132,3,0,0,support,low,1
E14380,0.7,0.89,3,183,5,0,0,support,low,1
E14381,0.09,0.82,6,250,4,0,0,support,low,1
E14382,0.37,0.45,2,151,3,0,0,support,low,1
E14383,0.1,0.83,6,292,4,0,0,support,low,1
